appl_id,project,nctid
9924845,DA013035-18S6,NCT02032433
9924845,DA013035-18S6,NCT04289363
9924845,DA013035-18S6,NCT04464980
9924845,DA013035-18S6,NCT04762537
9926627,DA015831-18S8,NCT03023930
9926627,DA015831-18S8,NCT03985163
9926627,DA015831-18S8,NCT04200339
9926627,DA015831-18S8,NCT04464980
9928319,DA013035-18S5,NCT02032433
9928319,DA013035-18S5,NCT04289363
9928319,DA013035-18S5,NCT04464980
9928319,DA013035-18S5,NCT04762537
9928595,DA015831-18S9,NCT03023930
9928595,DA015831-18S9,NCT03985163
9928595,DA015831-18S9,NCT04200339
9928595,DA015831-18S9,NCT04464980
9932780,NS115631-01,NCT04144972
9937717,DA049435-02,NCT04418453
9938533,DA049444-02,NCT03918850
9938533,DA049444-02,NCT03936985
9938535,DA049468-02,NCT03918850
9949667,DA049436-02,NCT03918850
9949667,DA049436-02,NCT04218201
9963442,AT010117-02,NCT04584502
9968898,DA040317-05S3,NCT01966432
9968898,DA040317-05S3,NCT03248947
9970641,DA015831-18S5,NCT03023930
9970641,DA015831-18S5,NCT03985163
9970641,DA015831-18S5,NCT04200339
9970641,DA015831-18S5,NCT04464980
9978015,DA050069-02,NCT04069624
9978016,DA050072-02,NCT04309565
9978018,DA050071-02,NCT04216719
9978018,DA050071-02,NCT04873401
9978019,DA050074-02,NCT04276792
9978020,DA050077-02,NCT04408313
9980028,DA044053-03S1,NCT03779997
9980049,DA040213-05S1,NCT03080259
9980635,TR001608-04S1,NCT03938857
9980635,TR001608-04S1,NCT04885530
9982460,AT010106-02,NCT04433975
9982464,AT010125-02,NCT04278586
9982464,AT010125-02,NCT04595084
9983354,HD095254-02S1,NCT01353313
9983354,HD095254-02S1,NCT01702805
9983354,HD095254-02S1,NCT01793129
9983354,HD095254-02S1,NCT02951130
9983354,HD095254-02S1,NCT03169881
9983354,HD095254-02S1,NCT03340727
9983354,HD095254-02S1,NCT03456336
9983431,DA048502-01A1,NCT04556552
9990159,DA013727-20S5,NCT01675661
9990159,DA013727-20S5,NCT03078075
9990159,DA013727-20S5,NCT03918850
9990159,DA013727-20S5,NCT04907357
9993931,DA048756-01S1,NCT04532619
9993931,DA048756-01S1,NCT04793464
9998189,HD036801-21S1,NCT00014989
9998189,HD036801-21S1,NCT00069576
9998189,HD036801-21S1,NCT00098709
9998189,HD036801-21S1,NCT00135902
9998189,HD036801-21S1,NCT00388297
9998189,HD036801-21S1,NCT00439374
9998189,HD036801-21S1,NCT01222247
9998189,HD036801-21S1,NCT01376778
9998189,HD036801-21S1,NCT01959321
9998189,HD036801-21S1,NCT01990612
9998189,HD036801-21S1,NCT02518594
9998189,HD036801-21S1,NCT02901626
9998189,HD036801-21S1,NCT03364491
9998189,HD036801-21S1,NCT03487185
9998189,HD036801-21S1,NCT03944512
10013399,DA051272-01,NCT04945525
10020199,NS113661-02,NCT04085406
10020320,AT010106-03,NCT04433975
10020323,AT010117-03,NCT04584502
10021225,CA189824-06S1,NCT01988571
10021225,CA189824-06S1,NCT02063828
10021225,CA189824-06S1,NCT02589938
10021225,CA189824-06S1,NCT02791581
10021225,CA189824-06S1,NCT02822573
10021225,CA189824-06S1,NCT03060096
10021225,CA189824-06S1,NCT03148080
10021225,CA189824-06S1,NCT03291587
10021225,CA189824-06S1,NCT03475186
10021225,CA189824-06S1,NCT03746314
10021225,CA189824-06S1,NCT03935282
10021225,CA189824-06S1,NCT03963739
10021225,CA189824-06S1,NCT03998202
10021225,CA189824-06S1,NCT04208490
10021225,CA189824-06S1,NCT04462302
10021545,AT010125-03,NCT04278586
10021545,AT010125-03,NCT04595084
10022112,DA050189-02,NCT04901312
10022118,DA050325-02,NCT04199728
10023176,DA050251-02,NCT04109599
10023961,NS115118-02,NCT03894553
10025176,DA049599-02,NCT04475198
10025192,NS115631-02,NCT04144972
10026086,DA048508-02,NCT04495673
10026953,DA051392-01,NCT04447287
10026953,DA051392-01,NCT04448561
10029002,DA046316-02,NCT04683926
10087991,DK123813-01S1,NCT04571619
10098313,DA045695-03,NCT03698669
10113419,MH115840-03,NCT04201184
10127813,AT009763-04S1,NCT04172038
10127813,AT009763-04S1,NCT04770480
10130155,HD101059-01S1,NCT04149509
10131167,DA046635-03,NCT03959111
10133359,DA049631-02,NCT04491175
10133359,DA049631-02,NCT04494841
10133699,HD095254-04,NCT00005772
10133699,HD095254-04,NCT00005773
10133699,HD095254-04,NCT00005774
10133699,HD095254-04,NCT00005775
10133699,HD095254-04,NCT00005776
10133699,HD095254-04,NCT00005777
10133699,HD095254-04,NCT00009620
10133699,HD095254-04,NCT00009633
10133699,HD095254-04,NCT00009646
10133699,HD095254-04,NCT00011362
10133699,HD095254-04,NCT00016523
10133699,HD095254-04,NCT00063063
10133699,HD095254-04,NCT00067613
10133699,HD095254-04,NCT00109525
10133699,HD095254-04,NCT00114543
10133699,HD095254-04,NCT00233324
10133699,HD095254-04,NCT00273325
10133699,HD095254-04,NCT00349726
10133699,HD095254-04,NCT00598429
10133699,HD095254-04,NCT00614744
10133699,HD095254-04,NCT00873847
10133699,HD095254-04,NCT00874367
10133699,HD095254-04,NCT00874393
10133699,HD095254-04,NCT00882284
10133699,HD095254-04,NCT01029353
10133699,HD095254-04,NCT01030575
10133699,HD095254-04,NCT01035697
10133699,HD095254-04,NCT01192776
10133699,HD095254-04,NCT01193270
10133699,HD095254-04,NCT01203345
10133699,HD095254-04,NCT01203358
10133699,HD095254-04,NCT01203410
10133699,HD095254-04,NCT01203423
10133699,HD095254-04,NCT01203436
10133699,HD095254-04,NCT01203449
10133699,HD095254-04,NCT01203475
10133699,HD095254-04,NCT01203488
10133699,HD095254-04,NCT01203501
10133699,HD095254-04,NCT01203514
10133699,HD095254-04,NCT01222364
10133699,HD095254-04,NCT01223261
10133699,HD095254-04,NCT01223274
10133699,HD095254-04,NCT01223287
10133699,HD095254-04,NCT01353313
10133699,HD095254-04,NCT01467076
10133699,HD095254-04,NCT01534481
10133699,HD095254-04,NCT01702805
10133699,HD095254-04,NCT01793129
10133699,HD095254-04,NCT01954056
10133699,HD095254-04,NCT01954082
10133699,HD095254-04,NCT02160002
10133699,HD095254-04,NCT02410486
10133699,HD095254-04,NCT02951130
10133699,HD095254-04,NCT03169881
10133699,HD095254-04,NCT03340727
10133699,HD095254-04,NCT03456336
10135213,AT011265-01,NCT04906447
10135903,DA049631-03,NCT04491175
10135903,DA049631-03,NCT04494841
10136565,DA047094-03,NCT03980184
10136935,MH121738-02S2,NCT04846504
10140552,DA040316-06S3,NCT03559179
10140552,DA040316-06S3,NCT04198428
10140552,DA040316-06S3,NCT04345718
10140552,DA040316-06S3,NCT04867382
10140552,DA040316-06S3,NCT04921787
10140834,MH121954-01S1,NCT04559893
10140834,MH121954-01S1,NCT04634279
10141215,DA050077-03,NCT04408313
10141532,DA050174-02S1,NCT04135703
10142414,DA049406-03,NCT04111939
10143219,DA049415-03,NCT04111939
10143220,DA049444-03,NCT03918850
10143220,DA049444-03,NCT03936985
10143221,DA049468-03,NCT03918850
10144414,DA049435-03,NCT04418453
10146327,DA049412-03,NCT04111939
