Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
10020320,AT010106-03,"NCT04433975 (HSSTUDY, CT)"
10020323,AT010117-03,NCT04584502 (CT)
10021225,CA189824-06S1,"NCT01988571 (HSSTUDY), NCT02063828 (HSSTUDY, CT), NCT02589938 (HSSTUDY), NCT02791581 (HSSTUDY), NCT02822573 (HSSTUDY, CT), NCT03060096 (HSSTUDY, CT), NCT03148080 (HSSTUDY, CT), NCT03291587 (HSSTUDY), NCT03475186 (HSSTUDY, CT), NCT03746314 (CT), NCT03935282 (HSSTUDY), NCT03963739 (HSSTUDY, CT), NCT03998202 (HSSTUDY), NCT04208490 (HSSTUDY), NCT04462302 (HSSTUDY, CT)"
10021545,AT010125-03,"NCT04278586 (CT), NCT04595084 (CT)"
10022112,DA050189-02,"NCT04901312 (HSSTUDY, CT)"
10022118,DA050325-02,"NCT04199728 (HSSTUDY, CT)"
10023176,DA050251-02,NCT04109599 (CT)
10023961,NS115118-02,NCT03894553 (HSSTUDY)
10025176,DA049599-02,NCT04475198 (CT)
10025192,NS115631-02,"NCT04144972 (HSSTUDY, CT)"
10026086,DA048508-02,NCT04495673 (CT)
10026953,DA051392-01,"NCT04447287 (HSSTUDY, CT), NCT04448561 (HSSTUDY, CT)"
10029002,DA046316-02,NCT04683926 (CT)
10087991,DK123813-01S1,"NCT04571619 (HSSTUDY, CT)"
10098313,DA045695-03,"NCT03698669 (HSSTUDY, CT)"
10113419,MH115840-03,"NCT04201184 (HSSTUDY, CT)"
10127813,AT009763-04S1,"NCT04172038 (CT), NCT04770480 (CT)"
10130155,HD101059-01S1,NCT04149509 (CT)
10131167,DA046635-03,NCT03959111 (HSSTUDY)
10133359,DA049631-02,"NCT04491175 (HSSTUDY, CT), NCT04494841 (HSSTUDY)"
10133699,HD095254-04,"NCT00005772 (RPPR), NCT00005773 (RPPR), NCT00005774 (RPPR), NCT00005775 (RPPR), NCT00005776 (RPPR), NCT00005777 (RPPR), NCT00009620 (RPPR), NCT00009633 (RPPR), NCT00009646 (RPPR), NCT00011362 (RPPR), NCT00016523 (RPPR), NCT00063063 (RPPR), NCT00067613 (RPPR), NCT00109525 (RPPR), NCT00114543 (RPPR), NCT00233324 (RPPR), NCT00273325 (RPPR), NCT00349726 (RPPR), NCT00598429 (RPPR), NCT00614744 (RPPR), NCT00873847 (RPPR), NCT00874367 (RPPR), NCT00874393 (RPPR), NCT00882284 (RPPR), NCT01029353 (RPPR), NCT01030575 (RPPR), NCT01035697 (RPPR), NCT01192776 (RPPR), NCT01193270 (RPPR), NCT01203345 (RPPR), NCT01203358 (RPPR), NCT01203410 (RPPR), NCT01203423 (RPPR), NCT01203436 (RPPR), NCT01203449 (RPPR), NCT01203475 (RPPR), NCT01203488 (RPPR), NCT01203501 (RPPR), NCT01203514 (RPPR), NCT01222364 (RPPR), NCT01223261 (RPPR), NCT01223274 (RPPR), NCT01223287 (RPPR), NCT01353313 (HSSTUDY, RPPR), NCT01467076 (RPPR), NCT01534481 (RPPR), NCT01702805 (HSSTUDY, RPPR), NCT01793129 (HSSTUDY, RPPR), NCT01954056 (RPPR), NCT01954082 (RPPR), NCT02160002 (RPPR), NCT02410486 (RPPR), NCT02951130 (HSSTUDY, RPPR), NCT03169881 (HSSTUDY, RPPR), NCT03340727 (HSSTUDY, RPPR), NCT03456336 (HSSTUDY, RPPR)"
10135213,AT011265-01,NCT04906447 (CT)
